range,code,event_date,y_prob,y_pred,close_t,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,
"[0.85,1.00]",603022,6/23/25,0.9274542,1,10.26,11.29,12.42,13.66,12.29,11.06,1
"[0.85,1.00]",603022,6/24/25,0.9064251,1,11.29,12.42,13.66,12.29,11.06,10.61,1
"[0.85,1.00]",603022,6/25/25,0.95098305,1,12.42,13.66,12.29,11.06,10.61,10.66,1
"[0.85,1.00]",603022,6/26/25,0.95505804,1,13.66,12.29,11.06,10.61,10.66,10.48,0
"[0.85,1.00]",603032,6/24/25,0.86874133,1,17.91,18.67,18.12,17.78,17.59,17.6,1
"[0.85,1.00]",603059,8/1/25,0.8895657,1,33.78,37.16,40.88,44.97,40.47,,1
"[0.85,1.00]",603086,7/7/25,0.86702347,1,10.67,10.74,11.1,11.3,10.52,10.54,1
"[0.85,1.00]",603093,6/12/25,0.8720188,1,22.61,21.05,22,20.23,21.34,19.85,0
"[0.85,1.00]",603093,6/23/25,0.86701846,1,17.28,17.95,19.75,21.73,23.25,22.33,1
"[0.85,1.00]",603093,6/25/25,0.8767033,1,19.75,21.73,23.25,22.33,20.52,19.98,1
"[0.85,1.00]",603093,6/26/25,0.89885634,1,21.73,23.25,22.33,20.52,19.98,19.68,1
"[0.85,1.00]",603115,7/18/25,0.87365746,1,19.64,18,18.55,18.2,16.69,15.9,0
"[0.85,1.00]",603123,6/18/25,0.8795894,1,13.2,12.39,11.76,12.47,13.26,14.59,1
"[0.85,1.00]",603123,6/23/25,0.8810512,1,12.47,13.26,14.59,14.85,15.5,17.05,1
"[0.85,1.00]",603123,6/24/25,0.85617363,1,13.26,14.59,14.85,15.5,17.05,15.35,1
"[0.85,1.00]",603123,6/26/25,0.897081,1,14.85,15.5,17.05,15.35,14.2,14.14,1
"[0.85,1.00]",603123,6/30/25,0.8944824,1,17.05,15.35,14.2,14.14,14.32,15.02,0
"[0.85,1.00]",603139,6/11/25,0.8934774,1,24.95,27.45,26.2,23.58,21.9,21.53,1
"[0.85,1.00]",603139,6/12/25,0.93695253,1,27.45,26.2,23.58,21.9,21.53,20.94,0
"[0.85,1.00]",603151,6/13/25,0.90519357,1,17.12,17.12,18.83,20.71,19.9,21.35,1
"[0.85,1.00]",603151,6/16/25,0.90519357,1,17.12,18.83,20.71,19.9,21.35,20.28,1
"[0.85,1.00]",603155,6/23/25,0.8666554,1,15.83,17.41,17.6,17.92,18.67,19.28,1
"[0.85,1.00]",603155,6/24/25,0.9262818,1,17.41,17.6,17.92,18.67,19.28,17.8,1
"[0.85,1.00]",603176,7/14/25,0.933162,1,6.15,6.77,6.37,5.73,6.3,6.93,1
"[0.85,1.00]",603176,7/15/25,0.94264394,1,6.77,6.37,5.73,6.3,6.93,6.48,1
"[0.85,1.00]",603176,7/24/25,0.8979841,1,7.04,7.74,7.25,7.46,7.38,6.64,1
"[0.85,1.00]",603176,7/25/25,0.8722725,1,7.74,7.25,7.46,7.38,6.64,6.35,0
"[0.85,1.00]",603176,7/28/25,0.8673809,1,7.25,7.46,7.38,6.64,6.35,6.22,1
"[0.85,1.00]",603185,7/10/25,0.86977524,1,19.31,18.7,18.57,18.23,18.04,18.84,0
"[0.85,1.00]",603212,7/2/25,0.8600559,1,14.16,13.45,12.9,12.61,13.08,12.41,0
"[0.85,1.00]",603216,7/16/25,0.857572,1,12.45,12.49,12.57,12.84,12.85,13.06,1
"[0.85,1.00]",603229,7/31/25,0.86947674,1,11.61,12.31,11.48,10.85,10.83,10.43,1
"[0.85,1.00]",603232,6/26/25,0.86637217,1,17.4,17.21,16.95,16.41,16.14,16.19,0
"[0.85,1.00]",603256,7/9/25,0.92782545,1,24.48,22.03,21.6,21.01,20.6,20.3,0
"[0.85,1.00]",603273,7/31/25,0.8656079,1,21.09,19.96,20.11,20.58,20.28,20.12,0
"[0.85,1.00]",603280,7/21/25,0.856314,1,28.72,31.59,34.75,38.23,37.47,41.22,1
"[0.85,1.00]",603280,7/22/25,0.87755007,1,31.59,34.75,38.23,37.47,41.22,45.34,1
"[0.85,1.00]",603280,7/23/25,0.9091058,1,34.75,38.23,37.47,41.22,45.34,49.87,1
"[0.85,1.00]",603280,7/24/25,0.9042068,1,38.23,37.47,41.22,45.34,49.87,54.86,1
"[0.85,1.00]",603280,7/28/25,0.87725085,1,41.22,45.34,49.87,54.86,57.47,60.1,1
"[0.85,1.00]",603280,7/29/25,0.91349566,1,45.34,49.87,54.86,57.47,60.1,57.2,1
"[0.85,1.00]",603316,6/26/25,0.851226,1,7.43,8.17,8.99,9.89,10.88,11.97,1
"[0.85,1.00]",603316,6/27/25,0.9169363,1,8.17,8.99,9.89,10.88,11.97,11.62,1
"[0.85,1.00]",603316,6/30/25,0.9727025,1,8.99,9.89,10.88,11.97,11.62,10.46,1
"[0.85,1.00]",603316,7/1/25,0.9163155,1,9.89,10.88,11.97,11.62,10.46,10.04,1
"[0.85,1.00]",603316,7/2/25,0.937748,1,10.88,11.97,11.62,10.46,10.04,9.37,1
"[0.85,1.00]",603316,7/3/25,0.88197434,1,11.97,11.62,10.46,10.04,9.37,9.11,0
"[0.85,1.00]",603316,7/4/25,0.8528682,1,11.62,10.46,10.04,9.37,9.11,9.13,0
"[0.85,1.00]",603332,6/11/25,0.90623754,1,19.5800022,19.35,17.42,17.64,16.67,18.34,0
"[0.85,1.00]",603335,6/12/25,0.87204945,1,5.91,5.32,5.14,4.93,4.82,4.71,0
"[0.85,1.00]",603336,6/11/25,0.893147,1,6.24,6.24,6.24,6.85,7.17,6.52,1
"[0.85,1.00]",603336,6/12/25,0.8868941,1,6.24,6.24,6.85,7.17,6.52,6.08,1
"[0.85,1.00]",603336,7/24/25,0.86303735,1,7.72,7.52,7.44,7.37,7.27,7.29,0
"[0.85,1.00]",603367,7/28/25,0.8971034,1,23.57,25.93,28.52,30.01,30.19,32.18,1
"[0.85,1.00]",603367,7/29/25,0.8586897,1,25.93,28.52,30.01,30.19,32.18,30.04,1
"[0.85,1.00]",603367,7/30/25,0.8610336,1,28.52,30.01,30.19,32.18,30.04,32.49,1
"[0.85,1.00]",603381,8/5/25,0.87819636,1,21.17,21.17,21.19,,,,1
"[0.85,1.00]",603516,8/7/25,0.9045819,1,86.8,,,,,,0
"[0.85,1.00]",603538,6/23/25,0.8873264,1,20.26036236,20.40999576,19.6,20.42,19.64,19.71,1
"[0.85,1.00]",603538,7/3/25,0.85387933,1,25.5,25.45,24.75,23.49,23.3,24.16,0
"[0.85,1.00]",603601,7/1/25,0.89702487,1,4.47,4.92,4.6,5.06,5.21,5.51,1
"[0.85,1.00]",603601,7/2/25,0.8890692,1,4.92,4.6,5.06,5.21,5.51,5.53,1
"[0.85,1.00]",603616,6/20/25,0.87052494,1,4.46,4.39,4.55,4.62,4.57,5.03,1
"[0.85,1.00]",603616,6/27/25,0.853338,1,5.03,4.79,4.6,4.55,4.62,4.49,0
"[0.85,1.00]",603616,7/22/25,0.8956877,1,5.46,6.01,6.61,5.95,6.55,6.7,1
"[0.85,1.00]",603616,7/23/25,0.91953933,1,6.01,6.61,5.95,6.55,6.7,7.37,1
"[0.85,1.00]",603616,7/24/25,0.93955284,1,6.61,5.95,6.55,6.7,7.37,7.7,1
"[0.85,1.00]",603616,7/28/25,0.9118862,1,6.55,6.7,7.37,7.7,7.16,6.7,1
"[0.85,1.00]",603616,7/29/25,0.8673261,1,6.7,7.37,7.7,7.16,6.7,6.44,1
"[0.85,1.00]",603616,7/30/25,0.85934377,1,7.37,7.7,7.16,6.7,6.44,6.06,1
"[0.85,1.00]",603616,7/31/25,0.9053575,1,7.7,7.16,6.7,6.44,6.06,6.03,0
"[0.85,1.00]",603616,8/1/25,0.87560475,1,7.16,6.7,6.44,6.06,6.03,,0
"[0.85,1.00]",603716,6/23/25,0.86225134,1,13.37,13.43,13.57,13.58,13.91,14.4,1
"[0.85,1.00]",603716,7/1/25,0.8716386,1,15.84,17.42,19.16,21.08,22.53,21.19,1
"[0.85,1.00]",603716,7/2/25,0.89785653,1,17.42,19.16,21.08,22.53,21.19,23.28,1
"[0.85,1.00]",603716,7/3/25,0.918681,1,19.16,21.08,22.53,21.19,23.28,25.61,1
"[0.85,1.00]",603716,7/4/25,0.9458329,1,21.08,22.53,21.19,23.28,25.61,25.73,1
"[0.85,1.00]",603716,7/10/25,0.85763496,1,25.61,25.73,24.89,22.4,21.67,23.84,1
"[0.85,1.00]",603716,7/16/25,0.87944216,1,21.67,23.84,23.7,25.46,25.88,28.47,1
