code,event_date,y_prob,prob_day1,prob_day2,prob_day3,prob_day4,prob_day5,prob_day6,prob_event,type,prob,
2218,7/9/25,0.864423692,0.454964697,0.611413598,0.657426596,0.534906745,0.571887255,0.81929785,0.864423692,,,
2218,7/10/25,0.932194829,0.611413598,0.657426596,0.534906745,0.571887255,0.81929785,0.864423692,0.932194829,,,
2225,7/8/25,0.850636005,0.298494548,0.310070217,0.246746227,0.527801633,0.385122746,0.608384311,0.850636005,,,
2229,7/16/25,0.854010403,0.817411423,0.768129468,0.70176208,0.723062754,0.625479579,0.552818835,0.854010403,,,
2229,7/17/25,0.881619513,0.768129468,0.70176208,0.723062754,0.625479579,0.552818835,0.854010403,0.881619513,,,
2235,7/1/25,0.890474379,0.847006977,0.871065319,0.889509737,0.853150368,0.821069837,0.767956197,0.890474379,,,
2246,7/21/25,0.871316493,0.340179235,0.539676547,0.463019073,0.414614171,0.710098922,0.771804452,0.871316493,,,
2246,7/22/25,0.899475098,0.539676547,0.463019073,0.414614171,0.710098922,0.771804452,0.871316493,0.899475098,,,
2248,8/6/25,0.852915943,0.467219174,0.292563945,0.383041322,0.342681944,0.783989072,0.681333661,0.852915943,,,
2263,7/1/25,0.882407069,0.389368951,0.851837754,0.902230203,0.88125515,0.915481269,0.924794078,0.882407069,,,
2265,7/1/25,0.90316236,0.778472662,0.796343327,0.824492157,0.894423485,0.862635612,0.901227355,0.90316236,,,
2265,7/21/25,0.863545418,0.633411527,0.707142115,0.669474721,0.681533158,0.792693734,0.722556174,0.863545418,,,
2265,7/23/25,0.85524708,0.669474721,0.681533158,0.792693734,0.722556174,0.863545418,0.802846491,0.85524708,,,
2266,7/22/25,0.864412606,0.241862103,0.254011452,0.401826918,0.394959569,0.412759423,0.688593924,0.864412606,,,
2266,7/23/25,0.892441452,0.254011452,0.401826918,0.394959569,0.412759423,0.688593924,0.864412606,0.892441452,,,
2295,7/3/25,0.921990931,0.524354279,0.672488272,0.594485283,0.536197364,0.415622056,0.839483857,0.921990931,,,
2297,7/22/25,0.900187492,0.497478455,0.452978134,0.387556791,0.46068573,0.476661742,0.771144092,0.900187492,,,
